Name,Fall,Year,Place,Type,Mass,Lat, Long,
Northwest Africa 749,FALSE,1846,(Northwest Africa),Unknown,11 g,-85.67651,-69.03395,
Northwest Africa 1734,FALSE,1823,(Northwest Africa),Unknown,338 g,-85.67555,-68.62278,
Northwest Africa 4141,FALSE,1888,(Northwest Africa),L6,70.3 g,-85.63333,-68.7,
Jiddat al Harasis 046,FALSE,1988,Oman,Unknown,,-84.2769,161.39563,
Northwest Africa 693,FALSE,1918,(Northwest Africa),Unknown,748 g,-84.27422,161.67685,
Northwest Africa 1728,FALSE,1972,(Northwest Africa),Unknown,94 g,-76.68917,159.36417,
Northwest Africa 1437,FALSE,1887,(Northwest Africa),Unknown,277 g,-86.71667,-141.5,
Limerick,TRUE,1813,"Munster, Ireland",H5,50 kg,-86.36667,-70,
Luotolax,TRUE,1813,"Kymi, Finland",Howardite,885 g,-86.36667,-70,
Malpas,TRUE,1813,"Wales, UK",Doubtful meteorite,,-86.36667,-70,
Pulrose,TRUE,1813,Isle of Man,Doubtful meteorite,,-86.36667,-70,
Maurice Lake 000,FALSE,1885,Australia,Reserved,,-85.68523,-67.77657,
Horsham,FALSE,1926,Australia,Pseudometeorite,,-85.66673,-68.28574,
